round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
62,duogesto,29,33,11,2024-10-10T09:03:16.013Z
62,fonograph,15,33,20,2024-10-10T09:19:01.906Z
62,Sanromolo,0,0,,
63,APT-Finals-2,0,0,,
63,APT-Finals-1,0,0,,
63,Diese-2,0,0,,
63,Diese-1,21,24,20,2024-10-10T09:02:01.279Z
63,CookingNonna,0,0,,
63,duogesto,30,35,11,2024-10-10T09:03:16.013Z
63,fonograph,15,34,20,2024-10-10T09:19:01.906Z
63,Sanromolo,0,0,,
64,APT-Finals-1,0,0,,
64,APT-Finals-2,1,26,3,2024-10-10T11:07:23.488Z
64,CookingNonna,0,0,,
64,Diese-2,0,0,,
64,Diese-1,23,24,20,2024-10-10T09:02:01.279Z
64,duogesto,30,33,11,2024-10-10T09:03:16.013Z
64,fonograph,17,35,20,2024-10-10T09:19:01.906Z
64,Sanromolo,0,0,,
65,APT-Finals-1,0,0,,
65,CookingNonna,0,0,,
65,APT-Finals-2,1,29,3,2024-10-10T11:07:23.488Z
65,Diese-1,22,23,20,2024-10-10T09:02:01.279Z
65,Diese-2,0,0,,
65,duogesto,31,34,11,2024-10-10T09:03:16.013Z
65,fonograph,18,35,20,2024-10-10T09:19:01.906Z
65,Sanromolo,0,0,,
66,CookingNonna,0,0,,
66,APT-Finals-2,1,19,3,2024-10-10T11:07:23.488Z
66,APT-Finals-1,0,0,,
66,Diese-1,22,24,20,2024-10-10T09:02:01.279Z
66,Diese-2,0,0,,
66,duogesto,31,33,11,2024-10-10T09:03:16.013Z
66,fonograph,18,34,20,2024-10-10T09:19:01.906Z
66,Sanromolo,1,14,27,2024-10-10T11:10:45.976Z
67,APT-Finals-1,0,0,,
67,APT-Finals-2,2,21,3,2024-10-10T11:07:23.488Z
67,Diese-2,0,0,,
67,CookingNonna,0,0,,
67,Diese-1,23,24,20,2024-10-10T09:02:01.279Z
67,duogesto,31,29,11,2024-10-10T09:03:16.013Z
67,fonograph,19,35,20,2024-10-10T09:19:01.906Z
67,Sanromolo,1,20,27,2024-10-10T11:10:45.976Z
68,CookingNonna,0,0,,
68,APT-Finals-1,0,0,,
68,Diese-1,24,23,20,2024-10-10T09:02:01.279Z
68,APT-Finals-2,2,28,3,2024-10-10T11:07:23.488Z
68,Diese-2,0,0,,
68,duogesto,31,29,11,2024-10-10T09:03:16.013Z
154,CookingNonna,6,27,15,2024-10-10T11:33:10.113Z
159,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
159,Sanromolo,4,28,27,2024-10-10T11:10:45.976Z
164,APT-Finals-2,11,24,3,2024-10-10T11:07:23.488Z
164,fonograph,27,18,20,2024-10-10T09:19:01.906Z
169,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
169,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
174,CookingNonna,6,31,15,2024-10-10T11:33:10.113Z
179,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
184,APT-Finals-2,15,24,3,2024-10-10T11:07:23.488Z
68,Sanromolo,1,19,27,2024-10-10T11:10:45.976Z
69,APT-Finals-1,0,0,,
69,fonograph,18,33,20,2024-10-10T09:19:01.906Z
73,APT-Finals-1,0,0,,
73,duogesto,30,22,11,2024-10-10T09:03:16.013Z
77,APT-Finals-1,0,0,,
77,duogesto,30,22,11,2024-10-10T09:03:16.013Z
81,APT-Finals-1,0,0,,
81,duogesto,30,20,11,2024-10-10T09:03:16.013Z
85,APT-Finals-2,4,27,3,2024-10-10T11:07:23.488Z
85,fonograph,22,32,20,2024-10-10T09:19:01.906Z
89,CookingNonna,2,34,15,2024-10-10T11:33:10.113Z
93,APT-Finals-2,4,33,3,2024-10-10T11:07:23.488Z
97,Diese-1,28,17,20,2024-10-10T09:02:01.279Z
97,Sanromolo,1,27,27,2024-10-10T11:10:45.976Z
101,CookingNonna,3,32,15,2024-10-10T11:33:10.113Z
